
+---------------+---------------------+------+-----+-------------------+----------------+
| Field         | Type                | Null | Key | Default           | Extra          |
+---------------+---------------------+------+-----+-------------------+----------------+
| id            | int(10) unsigned    | NO   | PRI | NULL              | auto_increment |
| domain_id     | tinyint(3) unsigned | NO   | MUL | NULL              |                |
| access_time   | timestamp           | NO   |     | CURRENT_TIMESTAMP |                |
| status_code   | smallint(6)         | YES  |     | NULL              |                |
| error_message | varchar(200)        | YES  |     | NULL              |                |
| ping_time     | float(10,3)         | YES  |     | NULL              |                |
| http_time     | float(10,3)         | YES  |     | NULL              |                |
+---------------+---------------------+------+-----+-------------------+----------------+
7 rows in set (0.09 sec)






+------+-----------+---------------------+-------------+---------------+-----------+-----------+
| id   | domain_id | access_time         | status_code | error_message | ping_time | http_time |
+------+-----------+---------------------+-------------+---------------+-----------+-----------+
|    1 |         1 | 2018-03-22 16:05:57 |         200 |               |     1.050 |    54.858 |
|    2 |         2 | 2018-03-22 16:05:57 |         200 | NO_HTTPS,     |     0.591 |    28.223 |
|    3 |         5 | 2018-03-22 16:05:57 |         200 | NO_HTTPS,     |     0.738 |   176.879 |
|    4 |         6 | 2018-03-22 16:05:57 |         200 |               |     0.804 |    79.487 |
|    5 |         7 | 2018-03-22 16:05:57 |         200 | NO_HTTPS,     |     0.747 |    37.726 |
|    6 |         1 | 2018-03-22 16:07:38 |         200 |               |     1.050 |    45.799 |
|    7 |         2 | 2018-03-22 16:07:38 |         200 | NO_HTTPS,     |     0.843 |    29.842 |
|    8 |         5 | 2018-03-22 16:07:38 |         200 | NO_HTTPS,     |     0.831 |   180.840 |
|    9 |         6 | 2018-03-22 16:07:38 |         200 |               |     1.070 |    85.268 |
|   10 |         7 | 2018-03-22 16:07:38 |         200 | NO_HTTPS,     |     0.932 |    34.294 |
|   11 |         1 | 2018-03-22 16:09:18 |         200 |               |     1.180 |    44.688 |
|   12 |         2 | 2018-03-22 16:09:18 |         200 | NO_HTTPS,     |     0.760 |    28.128 |
|   13 |         5 | 2018-03-22 16:09:19 |         200 | NO_HTTPS,     |     0.862 |   231.864 |
|   14 |         6 | 2018-03-22 16:09:19 |         200 |               |     0.848 |    49.546 |
|   15 |         7 | 2018-03-22 16:09:19 |         200 | NO_HTTPS,     |     1.120 |    37.245 |
|   16 |         1 | 2018-03-22 16:10:59 |         200 |               |     0.856 |    48.996 |
|   17 |         2 | 2018-03-22 16:10:59 |         200 | NO_HTTPS,     |     0.694 |    26.946 |
|   18 |         5 | 2018-03-22 16:10:59 |         200 | NO_HTTPS,     |     0.958 |   171.790 |
|   19 |         6 | 2018-03-22 16:11:00 |         200 |               |     1.060 |    65.881 |
|   20 |         7 | 2018-03-22 16:11:00 |         200 | NO_HTTPS,     |     1.330 |    34.159 |
|   21 |         1 | 2018-03-22 16:12:40 |         200 |               |     0.920 |    42.388 |
|   22 |         2 | 2018-03-22 16:12:40 |         200 | NO_HTTPS,     |     0.946 |    24.147 |
|   23 |         5 | 2018-03-22 16:12:40 |         200 | NO_HTTPS,     |     0.987 |   195.749 |
|   24 |         6 | 2018-03-22 16:12:40 |         200 |               |     1.180 |    55.295 |
|   25 |         7 | 2018-03-22 16:12:41 |         200 | NO_HTTPS,     |     0.963 |   232.408 |
|   26 |         1 | 2018-03-22 16:14:21 |         200 |               |     1.080 |    62.837 |
|   27 |         2 | 2018-03-22 16:14:21 |         200 | NO_HTTPS,     |     3.870 |    28.129 |
|   28 |         5 | 2018-03-22 16:14:21 |         200 | NO_HTTPS,     |     0.756 |   276.721 |
|   29 |         6 | 2018-03-22 16:14:21 |         200 |               |     1.160 |    49.440 |
|   30 |         7 | 2018-03-22 16:14:21 |         200 | NO_HTTPS,     |     1.230 |    33.601 |
|   31 |         1 | 2018-03-22 16:16:01 |         200 |               |     1.040 |    43.327 |
|   32 |         2 | 2018-03-22 16:16:01 |         200 | NO_HTTPS,     |     0.730 |    27.464 |
|   33 |         5 | 2018-03-22 16:16:02 |         200 | NO_HTTPS,     |     0.580 |   113.759 |
|   34 |         6 | 2018-03-22 16:16:02 |         200 |               |     1.580 |    47.263 |
|   35 |         7 | 2018-03-22 16:16:02 |         200 | NO_HTTPS,     |     0.613 |    25.428 |
|   36 |         1 | 2018-03-22 16:17:42 |         200 |               |     0.849 |    42.094 |
|   37 |         2 | 2018-03-22 16:17:42 |         200 | NO_HTTPS,     |     0.877 |    26.277 |
|   38 |         5 | 2018-03-22 16:17:42 |         200 | NO_HTTPS,     |     0.844 |   227.872 |
|   39 |         6 | 2018-03-22 16:17:42 |         200 |               |     0.938 |    49.790 |
|   40 |         7 | 2018-03-22 16:17:43 |         200 | NO_HTTPS,     |     0.909 |    33.801 |
|   41 |         1 | 2018-03-22 16:19:23 |         200 |               |     3.350 |    40.293 |
|   42 |         2 | 2018-03-22 16:19:25 |         200 | NO_HTTPS,     |     4.120 |  1014.494 |
|   43 |         5 | 2018-03-22 16:19:25 |         200 | NO_HTTPS,     |     0.829 |   114.858 |
|   44 |         6 | 2018-03-22 16:19:25 |         200 |               |     0.941 |    48.127 |
|   45 |         7 | 2018-03-22 16:19:25 |         200 | NO_HTTPS,     |     0.867 |    24.421 |
|   46 |         1 | 2018-03-22 16:21:06 |         200 |               |     0.826 |    40.865 |
|   47 |         2 | 2018-03-22 16:21:06 |         200 | NO_HTTPS,     |     1.060 |    28.569 |
|   48 |         5 | 2018-03-22 16:21:06 |         200 | NO_HTTPS,     |     0.723 |   107.035 |
|   49 |         6 | 2018-03-22 16:21:06 |         200 |               |     0.925 |    55.371 |
|   50 |         7 | 2018-03-22 16:21:06 |         200 | NO_HTTPS,     |     1.160 |    86.696 |
|   51 |         1 | 2018-03-22 16:22:46 |         200 |               |     0.808 |    38.486 |
|   52 |         2 | 2018-03-22 16:22:46 |         200 | NO_HTTPS,     |     0.788 |    28.218 |
|   53 |         5 | 2018-03-22 16:22:47 |         200 | NO_HTTPS,     |     0.851 |   173.802 |
|   54 |         6 | 2018-03-22 16:22:47 |         200 |               |     0.744 |    47.825 |
|   55 |         7 | 2018-03-22 16:22:47 |         200 | NO_HTTPS,     |     0.794 |    37.824 |
|   56 |         1 | 2018-03-22 16:24:27 |         200 |               |     0.859 |    44.710 |
|   57 |         2 | 2018-03-22 16:24:27 |         200 | NO_HTTPS,     |     0.711 |    23.317 |
|   58 |         5 | 2018-03-22 16:24:27 |         200 | NO_HTTPS,     |     0.709 |   102.527 |
|   59 |         6 | 2018-03-22 16:24:27 |         200 |               |     0.840 |    57.559 |
|   60 |         7 | 2018-03-22 16:24:27 |         200 | NO_HTTPS,     |     0.963 |    22.883 |
|   61 |         1 | 2018-03-22 16:26:07 |         200 |               |     0.805 |    39.367 |
|   62 |         2 | 2018-03-22 16:26:07 |         200 | NO_HTTPS,     |     0.697 |    24.971 |
|   63 |         5 | 2018-03-22 16:26:08 |         200 | NO_HTTPS,     |     0.687 |   163.052 |
|   64 |         6 | 2018-03-22 16:26:08 |         200 |               |     0.932 |    47.379 |
|   65 |         7 | 2018-03-22 16:26:08 |         200 | NO_HTTPS,     |     0.798 |    33.513 |
|   66 |         1 | 2018-03-22 16:27:48 |         200 |               |     0.814 |    40.803 |
|   67 |         2 | 2018-03-22 16:27:48 |         200 | NO_HTTPS,     |     0.558 |    25.486 |
|   68 |         5 | 2018-03-22 16:27:48 |         200 | NO_HTTPS,     |     0.705 |   189.259 |
|   69 |         6 | 2018-03-22 16:27:48 |         200 |               |     0.930 |    51.980 |
|   70 |         7 | 2018-03-22 16:27:48 |         200 | NO_HTTPS,     |     1.390 |    34.889 |
|   71 |         1 | 2018-03-22 16:29:29 |         200 |               |     0.674 |    43.714 |
|   72 |         2 | 2018-03-22 16:29:29 |         200 | NO_HTTPS,     |     1.710 |    25.826 |
|   73 |         5 | 2018-03-22 16:29:29 |         200 | NO_HTTPS,     |     2.640 |   192.288 |
|   74 |         6 | 2018-03-22 16:29:29 |         200 |               |     1.000 |    54.894 |
|   75 |         7 | 2018-03-22 16:29:29 |         200 | NO_HTTPS,     |     0.813 |    23.158 |
|   76 |         1 | 2018-03-22 16:31:09 |         200 |               |     1.500 |    31.092 |
|   77 |         2 | 2018-03-22 16:31:09 |         200 | NO_HTTPS,     |     0.611 |    35.011 |
|   78 |         5 | 2018-03-22 16:31:09 |         200 | NO_HTTPS,     |     0.749 |   177.423 |
|   79 |         6 | 2018-03-22 16:31:10 |         200 |               |     1.240 |    53.162 |
|   80 |         7 | 2018-03-22 16:31:10 |         200 | NO_HTTPS,     |     1.630 |    34.001 |
|   81 |         1 | 2018-03-22 16:32:50 |         200 |               |     0.828 |    46.380 |
|   82 |         2 | 2018-03-22 16:32:50 |         200 | NO_HTTPS,     |     0.665 |    23.468 |
|   83 |         5 | 2018-03-22 16:32:50 |         200 | NO_HTTPS,     |     0.710 |   102.688 |
|   84 |         6 | 2018-03-22 16:32:50 |         200 |               |     0.805 |    51.894 |
|   85 |         7 | 2018-03-22 16:32:50 |         200 | NO_HTTPS,     |     0.771 |    28.637 |
|   86 |         1 | 2018-03-22 16:34:30 |         200 |               |     0.892 |    37.557 |
|   87 |         2 | 2018-03-22 16:34:30 |         200 | NO_HTTPS,     |     0.817 |    24.914 |
|   88 |         5 | 2018-03-22 16:34:31 |         200 | NO_HTTPS,     |     0.583 |   101.476 |
|   89 |         6 | 2018-03-22 16:34:31 |         200 |               |     0.927 |    47.746 |
|   90 |         7 | 2018-03-22 16:34:31 |         200 | NO_HTTPS,     |     0.614 |    29.070 |
|   91 |         1 | 2018-03-22 16:36:11 |         200 |               |     0.788 |    42.246 |
|   92 |         2 | 2018-03-22 16:36:11 |         200 | NO_HTTPS,     |     0.734 |    24.443 |
|   93 |         5 | 2018-03-22 16:36:11 |         200 | NO_HTTPS,     |     0.653 |   181.596 |
|   94 |         6 | 2018-03-22 16:36:11 |         200 |               |     1.010 |    48.011 |
|   95 |         7 | 2018-03-22 16:36:11 |         200 | NO_HTTPS,     |     1.580 |    25.479 |
|   96 |         1 | 2018-03-22 16:37:51 |         200 |               |     0.649 |    50.221 |
|   97 |         2 | 2018-03-22 16:37:52 |         200 | NO_HTTPS,     |     0.541 |    23.607 |
|   98 |         5 | 2018-03-22 16:37:52 |         200 | NO_HTTPS,     |     0.776 |   103.016 |
|   99 |         6 | 2018-03-22 16:37:52 |         200 |               |     1.030 |    47.020 |
|  100 |         7 | 2018-03-22 16:37:52 |         200 | NO_HTTPS,     |     0.591 |    25.723 |
|  101 |         1 | 2018-03-22 16:39:32 |         200 |               |     1.080 |    44.338 |
|  102 |         2 | 2018-03-22 16:39:32 |         200 | NO_HTTPS,     |     0.584 |    24.497 |
|  103 |         5 | 2018-03-22 16:39:32 |         200 | NO_HTTPS,     |     0.774 |   185.504 |
|  104 |         6 | 2018-03-22 16:39:32 |         200 |               |     0.961 |    55.111 |
|  105 |         7 | 2018-03-22 16:39:33 |         200 | NO_HTTPS,     |     0.674 |    34.320 |
|  106 |         1 | 2018-03-22 16:41:13 |         200 |               |     0.821 |    40.151 |
|  107 |         2 | 2018-03-22 16:41:13 |         200 | NO_HTTPS,     |     0.781 |    25.296 |
|  108 |         5 | 2018-03-22 16:41:13 |         200 | NO_HTTPS,     |     0.969 |   166.250 |
|  109 |         6 | 2018-03-22 16:41:13 |         200 |               |     0.996 |    57.449 |
|  110 |         7 | 2018-03-22 16:41:13 |         200 | NO_HTTPS,     |     0.701 |    35.185 |
|  111 |         1 | 2018-03-22 16:42:53 |         200 |               |     0.845 |    40.841 |
|  112 |         2 | 2018-03-22 16:42:53 |         200 | NO_HTTPS,     |     0.887 |    29.451 |
|  113 |         5 | 2018-03-22 16:42:54 |         200 | NO_HTTPS,     |     0.799 |   103.355 |
|  114 |         6 | 2018-03-22 16:42:54 |         200 |               |     1.110 |    53.042 |
|  115 |         7 | 2018-03-22 16:42:54 |         200 | NO_HTTPS,     |     0.620 |    24.395 |
|  116 |         1 | 2018-03-22 16:44:34 |         200 |               |     0.847 |    42.523 |
|  117 |         2 | 2018-03-22 16:44:34 |         200 | NO_HTTPS,     |     0.994 |    25.129 |
|  118 |         5 | 2018-03-22 16:44:34 |         200 | NO_HTTPS,     |     0.818 |   191.492 |
|  119 |         6 | 2018-03-22 16:44:34 |         200 |               |     0.909 |    56.838 |
|  120 |         7 | 2018-03-22 16:44:34 |         200 | NO_HTTPS,     |     0.903 |    33.081 |
|  121 |         1 | 2018-03-22 16:46:14 |         200 |               |     0.786 |    40.293 |
|  122 |         2 | 2018-03-22 16:46:15 |         200 | NO_HTTPS,     |     0.848 |    24.441 |
|  123 |         5 | 2018-03-22 16:46:15 |         200 | NO_HTTPS,     |     0.896 |   164.611 |
|  124 |         6 | 2018-03-22 16:46:15 |         200 |               |     0.628 |    47.112 |
|  125 |         7 | 2018-03-22 16:46:15 |         200 | NO_HTTPS,     |     0.837 |    23.610 |
|  126 |         1 | 2018-03-22 16:47:55 |         200 |               |     0.661 |    38.960 |
|  127 |         2 | 2018-03-22 16:47:55 |         200 | NO_HTTPS,     |     0.588 |    25.730 |
|  128 |         5 | 2018-03-22 16:47:55 |         200 | NO_HTTPS,     |     0.759 |   104.031 |
|  129 |         6 | 2018-03-22 16:47:55 |         200 |               |     0.755 |    45.573 |
|  130 |         7 | 2018-03-22 16:47:55 |         200 | NO_HTTPS,     |     0.637 |    23.164 |
|  131 |         1 | 2018-03-22 16:49:36 |         200 |               |     0.949 |    40.840 |
|  132 |         2 | 2018-03-22 16:49:36 |         200 | NO_HTTPS,     |     0.607 |    22.571 |
|  133 |         5 | 2018-03-22 16:49:36 |         200 | NO_HTTPS,     |     0.753 |   115.205 |
|  134 |         6 | 2018-03-22 16:49:36 |         200 |               |     0.791 |    52.450 |
|  135 |         7 | 2018-03-22 16:49:36 |         200 | NO_HTTPS,     |     0.796 |    33.357 |
|  136 |         1 | 2018-03-22 16:51:16 |         200 |               |     0.712 |    46.881 |
|  137 |         2 | 2018-03-22 16:51:16 |         200 | NO_HTTPS,     |     0.673 |    23.818 |
|  138 |         5 | 2018-03-22 16:51:17 |         200 | NO_HTTPS,     |     0.718 |   162.193 |
|  139 |         6 | 2018-03-22 16:51:17 |         200 |               |     0.891 |    57.102 |
|  140 |         7 | 2018-03-22 16:51:17 |         200 | NO_HTTPS,     |     0.631 |    33.424 |
|  141 |         1 | 2018-03-22 16:52:57 |         200 |               |     0.730 |    36.844 |
|  142 |         2 | 2018-03-22 16:52:57 |         200 | NO_HTTPS,     |     0.994 |    22.290 |
|  143 |         5 | 2018-03-22 16:52:57 |         200 | NO_HTTPS,     |     0.672 |   151.669 |
|  144 |         6 | 2018-03-22 16:52:57 |         200 |               |     1.210 |    43.304 |
|  145 |         7 | 2018-03-22 16:52:57 |         200 | NO_HTTPS,     |     0.746 |    32.428 |
|  146 |         1 | 2018-03-22 16:54:37 |         200 |               |     0.767 |    44.626 |
|  147 |         2 | 2018-03-22 16:54:37 |         200 | NO_HTTPS,     |     0.647 |    25.905 |
|  148 |         5 | 2018-03-22 16:54:38 |         200 | NO_HTTPS,     |     0.765 |   187.258 |
|  149 |         6 | 2018-03-22 16:54:38 |         200 |               |     0.818 |    49.719 |
|  150 |         7 | 2018-03-22 16:54:38 |         200 | NO_HTTPS,     |     0.919 |    33.785 |
|  151 |         1 | 2018-03-22 16:56:18 |         200 |               |     0.993 |    36.504 |
|  152 |         2 | 2018-03-22 16:56:18 |         200 | NO_HTTPS,     |     0.574 |    26.729 |
|  153 |         5 | 2018-03-22 16:56:18 |         200 | NO_HTTPS,     |     0.735 |   160.028 |
|  154 |         6 | 2018-03-22 16:56:18 |         200 |               |     0.936 |    64.710 |
|  155 |         7 | 2018-03-22 16:56:18 |         200 | NO_HTTPS,     |     0.659 |    32.417 |
|  156 |         1 | 2018-03-22 16:57:58 |         200 |               |     1.020 |    41.775 |
|  157 |         2 | 2018-03-22 16:57:59 |         200 | NO_HTTPS,     |     0.604 |    24.077 |
|  158 |         5 | 2018-03-22 16:57:59 |         200 | NO_HTTPS,     |     0.666 |   167.297 |
|  159 |         6 | 2018-03-22 16:57:59 |         200 |               |     1.090 |    47.206 |
|  160 |         7 | 2018-03-22 16:57:59 |         200 | NO_HTTPS,     |     0.755 |    36.007 |
|  161 |         1 | 2018-03-22 16:59:39 |         200 |               |     0.718 |    39.314 |
|  162 |         2 | 2018-03-22 16:59:39 |         200 | NO_HTTPS,     |     0.496 |    25.471 |
|  163 |         5 | 2018-03-22 16:59:39 |         200 | NO_HTTPS,     |     0.940 |   160.469 |
|  164 |         6 | 2018-03-22 16:59:40 |         200 |               |     1.000 |    46.973 |
|  165 |         7 | 2018-03-22 16:59:40 |         200 | NO_HTTPS,     |     0.740 |    33.001 |
|  166 |         1 | 2018-03-22 17:01:20 |         200 |               |     0.866 |    42.583 |
|  167 |         2 | 2018-03-22 17:01:20 |         200 | NO_HTTPS,     |     0.620 |    24.306 |
|  168 |         5 | 2018-03-22 17:01:20 |         200 | NO_HTTPS,     |     0.687 |   167.962 |
|  169 |         6 | 2018-03-22 17:01:20 |         200 |               |     1.020 |    68.398 |
